etherStatsFragments,etherStatsOversizePkts,etherStatsPkts1024to1518Octets,etherStatsPkts128to255Octets,etherStatsPkts256to511Octets,etherStatsPkts512to1023Octets,etherStatsPkts64Octets,etherStatsPkts65to127Octets,etherStatsUndersizePkts,ifHCInOctets,ifHCOutOctets,ifInBroadcastPkts,ifInDiscards,ifInErrors,ifInMulticastPkts,ifInUcastPkts,ifInUnknownProtos,ifOutBroadcastPkts,ifOutDiscards,ifOutErrors,ifOutMulticastPkts,ifOutUcastPkts,class
0,0,4,428,10,7,41,155,0,11264,1043112,0,0,0,0,4,0,97,0,0,475,70,normal
0,0,0,421,9,4,41,150,0,11992,951704,0,0,0,0,7,0,93,0,0,447,78,normal
0,0,0,451,10,2,46,149,0,20336,986136,0,0,0,0,14,0,103,0,0,465,77,normal
0,0,21,459,11,5,43,147,0,10944,1324200,0,0,0,0,7,0,96,0,0,464,124,normal
0,0,9,449,10,5,40,151,0,18768,1129720,0,0,0,0,9,0,94,0,0,467,98,normal
0,0,0,438,10,1,36,151,0,14512,962176,0,0,0,0,10,0,92,0,0,457,77,normal
0,0,0,422,8,1,41,146,0,5664,939552,0,0,0,0,3,0,97,0,0,453,66,normal
0,0,0,443,8,2,37,150,0,20728,961472,0,0,0,0,14,0,90,0,0,461,76,normal
0,0,0,436,10,2,39,148,0,20248,951160,0,0,0,0,14,0,92,0,0,446,82,normal
0,0,0,430,9,3,44,146,0,10896,956304,0,0,0,0,7,0,99,0,0,456,71,normal
0,0,0,441,10,5,52,156,0,19088,992048,0,0,0,0,9,0,108,0,0,468,79,normal
0,0,0,437,14,7,53,152,0,7848,1018832,0,0,0,0,5,0,110,0,0,480,70,normal
0,0,0,442,8,1,54,153,0,20888,966048,0,0,0,0,14,0,110,0,0,455,80,normal
0,0,0,402,8,2,55,138,0,4216,909104,0,0,0,0,2,0,107,0,0,439,59,normal
0,0,0,448,9,2,62,153,0,26760,980512,0,0,0,0,16,0,116,0,0,466,78,normal
0,0,0,448,9,1,67,151,0,22856,979856,0,0,0,0,15,0,121,0,0,458,82,normal
0,0,0,455,9,3,69,156,0,20744,1010776,0,0,0,0,14,0,127,0,0,469,82,normal
0,0,0,403,8,2,64,141,0,3200,912392,0,0,0,0,2,0,115,0,0,441,60,normal
0,0,0,432,9,3,71,148,0,10656,977312,0,0,0,0,6,0,127,0,0,458,72,normal
0,0,0,441,12,3,70,158,0,11072,1007720,0,0,0,0,7,0,125,0,0,466,86,normal
0,0,0,443,9,2,62,159,0,21032,981312,0,0,0,0,15,0,117,0,0,460,84,normal
0,0,0,454,12,3,65,164,0,28448,1014568,0,0,0,0,16,0,121,0,0,466,97,normal
0,0,0,441,9,1,66,153,0,20824,971888,0,0,0,0,14,0,122,0,0,455,81,normal
0,0,0,432,9,2,61,155,0,19808,961672,0,0,0,0,14,0,111,0,0,452,80,normal
0,0,0,441,9,4,65,154,0,28456,978128,0,0,0,0,16,0,120,0,0,457,82,normal
